id,message,reply_to
762985,صرة سالك تفتيش عشوائي عليه اكم من سيارة,
762986,شباب ايش الوضع من  حومش لدير شرف,
762987,شافي شمرون سالك,
762988,عبرقة في شي,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762987, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"
762989,شوي بكون هناك,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762988, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': 762987}"
762990,حاجز صرة؟,
762991,,
762992,مدخل برقة سالك,
762993,بسلامة,
762994,حومش سالك,
